symbol,bsc_address
ETH,0x2170ed0880ac9a755fd29b2688956bd959f933f8
USDT,0x55d398326f99059ff775485246999027b3197955
USDC,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d
XRP,0x1d2f0da169ceb9fc7b3144628db156f3f6c60dbe
TRX,0xCE7de646e7208a4Ef112cb6ed5038FA6cC6b12e3
DOGE,0xba2ae424d960c26247dd6c32edc70b295c744c43
ZEC,0x1ba42e5193dfa8b03d15dd1b86a3113bbbef8eeb
ADA,0x3ee2200efb3400fabb9aacf31297cbdd1d435d47
LINK,0xf8a0bf9cf54bb92f17374d9e9a321e6a111a51bd
BCH,0x8fF795a6F4D97E7887C79beA79aba5cc76444aDf
DAI,0x1af3f329e8be154074d8769d1ffa4ee058b1dbc3
TON,0x4255279af47cf10efb9a5c8839f90170f4ef759f
USD1,0x8d0D000Ee44948FC98c9B98A4FA4921476f08B0d
USDe,0x5d3a1ff2b6bab83b63cd9ad0787074081a52ef34
M,0x22b1458e780f8fa71e2f84502cee8b5a3cc731fa
LTC,0x4338665cbb7b2485a8855a139b75d5e34ab0db94
AVAX,0x1ce0c2827e2ef14d5c4f29a091d735a204794041
SHIB,0x2859e4544c4bb03966803b044a93563bd2d0dd4d
XAUt,0x21cAef8A43163Eea865baeE23b9C2E327696A3bf
WLFI,0x47474747477b199288bF72a1D702f7Fe0Fb1DEeA
DOT,0x7083609fce4d1d8dc0c979aab8c869ea2c873402
UNI,0xbf5140a22578168fd562dccf235e5d43a02ce9b1
ASTER,0x000Ae314E2A2172a039B26378814C252734f556A
DEXE,0x6E88056E8376Ae7709496Ba64d37fa2f8015ce3e
USDD,0x45e51bc23d592eb2dba86da3985299f7895d66ba
ETC,0x3d6545b08693dae087e957cb1180ee38b9e3c25e
AAVE,0xfb6115445bff7b52feb98650c87f44907e58f802
ATOM,0x0eb3a705fc54725037cc9e008bdede697f62f335
U,0xcE24439F2D9C6a2289F741120FE202248B666666
STABLE,0x011EBe7d75E2C9D1E0bD0be0bEf5C36f0A90075F
FIL,0x0d8ce2a99bb6e3b7db580ed848240e4a0f9ae153
INJ,0xa2b726b1145a4773f68593cf171187d8ebe4d495
NIGHT,0xfe930c2d63aed9b82fc4dbc801920dd2c1a3224f
FET,0x031b41e504677879370e9dbcf937283a8691fa7f
TUSD,0x40af3827F39D0EAcBF4A168f8D4ee67c121D11c9
BONK,0xA697e272a73744b343528C3Bc4702F2565b2F422
PENGU,0x6418c0dd099a9fda397c766304cdd918233e8847
CAKE,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
SIREN,0x997a58129890bbda032231a52ed1ddc845fc18e1
LUNC,0x156ab3346823B651294766e23e6Cf87254d68962
ZRO,0x6985884c4392d348587b19cb9eaaf157f13271cd
KITE,0x904567252D8F48555b7447c67dCA23F0372E16be
