date,risk_off,halted,n_held,narratives
2021-02-01,True,False,0,CASH
2021-02-04,True,False,0,CASH
2021-02-07,True,False,0,CASH
2021-02-10,True,False,0,CASH
2021-02-13,True,False,0,CASH
2021-02-16,True,False,0,CASH
2021-02-19,True,False,0,CASH
2021-02-22,True,False,0,CASH
2021-02-25,True,False,0,CASH
2021-02-28,True,False,0,CASH
2021-03-03,True,False,0,CASH
2021-03-06,True,False,0,CASH
2021-03-09,True,False,0,CASH
2021-03-12,True,False,0,CASH
2021-03-15,True,False,0,CASH
2021-03-18,True,False,0,CASH
2021-03-21,True,False,0,CASH
2021-03-24,True,False,0,CASH
2021-03-27,True,False,0,CASH
2021-03-30,True,False,0,CASH
2021-04-02,True,False,0,CASH
2021-04-05,True,False,0,CASH
2021-04-08,True,False,0,CASH
2021-04-11,True,False,0,CASH
2021-04-14,True,False,0,CASH
2021-04-17,True,False,0,CASH
2021-04-20,True,False,0,CASH
2021-04-23,True,False,0,CASH
2021-04-26,True,False,0,CASH
2021-04-29,True,False,0,CASH
2021-05-02,True,False,0,CASH
2021-05-05,True,False,0,CASH
2021-05-08,True,False,0,CASH
2021-05-11,True,False,0,CASH
2021-05-14,True,False,0,CASH
2021-05-17,True,False,0,CASH
2021-05-20,True,False,0,CASH
2021-05-23,True,False,0,CASH
2021-05-26,True,False,0,CASH
2021-05-29,True,False,0,CASH
2021-06-01,True,False,0,CASH
2021-06-04,True,False,0,CASH
2021-06-07,True,False,0,CASH
2021-06-10,True,False,0,CASH
2021-06-13,True,False,0,CASH
2021-06-16,True,False,0,CASH
2021-06-19,True,False,0,CASH
2021-06-22,True,False,0,CASH
2021-06-25,True,False,0,CASH
2021-06-28,True,False,0,CASH
2021-07-01,True,False,0,CASH
2021-07-04,True,False,0,CASH
2021-07-07,True,False,0,CASH
2021-07-10,True,False,0,CASH
2021-07-13,True,False,0,CASH
2021-07-16,True,False,0,CASH
2021-07-19,True,False,0,CASH
2021-07-22,True,False,0,CASH
2021-07-25,True,False,0,CASH
2021-07-28,True,False,0,CASH
2021-07-31,True,False,0,CASH
2021-08-03,True,False,0,CASH
2021-08-06,True,False,0,CASH
2021-08-09,True,False,0,CASH
2021-08-12,True,False,0,CASH
2021-08-15,False,False,10,"ETH, UNI, DOT, TWT, LINK, TRX, AVAX, INJ, FIL, CAKE"
2021-08-18,False,False,10,"TRX, ETH, TWT, AXS, UNI, DOT, ZIL, FIL, CAKE, XRP"
2021-08-21,False,False,10,"TRX, XRP, ADA, TWT, DOT, UNI, CAKE, BCH, ETH, SUSHI"
2021-08-24,False,False,10,"TWT, AXS, CAKE, DOT, AVAX, TRX, SUSHI, XRP, FET, ADA"
2021-08-27,False,False,10,"AVAX, TWT, DOT, CAKE, SUSHI, ADA, XRP, TRX, AXS, 1INCH"
2021-08-30,False,False,10,"AVAX, TWT, ADA, ATOM, CAKE, DOT, KAVA, INJ, SFP, SUSHI"
2021-09-02,False,False,10,"AVAX, TWT, ADA, SFP, CAKE, INJ, ATOM, KAVA, XRP, DOT"
2021-09-05,False,False,10,"AVAX, ADA, TWT, CAKE, SFP, KAVA, ATOM, FET, DUSK, AXS"
2021-09-08,False,False,10,"TWT, AVAX, ATOM, ADA, DOT, FET, ETH, INJ, SFP, CAKE"
2021-09-11,False,False,10,"TWT, AVAX, AXS, ADA, DOT, ATOM, FET, ETH, INJ, DUSK"
2021-09-14,False,False,10,"ROSE, FET, TWT, AVAX, ADA, INJ, FIL, DOT, ATOM, ETH"
2021-09-17,False,False,10,"RAY, ROSE, TWT, AVAX, ATOM, FET, TUSD, USDC, DOT, FIL"
2021-09-20,True,False,0,CASH
2021-09-23,True,False,0,CASH
2021-09-26,True,False,0,CASH
2021-09-29,True,False,0,CASH
2021-10-02,False,False,5,"ATOM, AVAX, FET, ROSE, SHIB"
2021-10-05,False,False,4,"AVAX, ATOM, USDC, TUSD"
2021-10-08,False,False,10,"AXS, AVAX, ATOM, UNI, ROSE, FET, DOT, 1INCH, SHIB, ETH"
2021-10-11,False,False,10,"AXS, SHIB, AVAX, ATOM, UNI, 1INCH, ROSE, USDC, TUSD, ETH"
2021-10-14,False,False,10,"SHIB, AXS, ATOM, ETH, DOT, AVAX, LTC, 1INCH, KAVA, INJ"
