date,pair,side,weight_before,weight_after,weight_delta,turnover,cost
2021-08-16,AVAXUSDT,buy,0.0,0.048523,0.048523,0.450715,0.00067607
2021-08-16,CAKEUSDT,buy,0.0,0.047653,0.047653,0.450715,0.00067607
2021-08-16,DOTUSDT,buy,0.0,0.042758,0.042758,0.450715,0.00067607
2021-08-16,ETHUSDT,buy,0.0,0.052277,0.052277,0.450715,0.00067607
2021-08-16,FILUSDT,buy,0.0,0.043572,0.043572,0.450715,0.00067607
2021-08-16,INJUSDT,buy,0.0,0.036644,0.036644,0.450715,0.00067607
2021-08-16,LINKUSDT,buy,0.0,0.040613,0.040613,0.450715,0.00067607
2021-08-16,TRXUSDT,buy,0.0,0.061366,0.061366,0.450715,0.00067607
2021-08-16,TWTUSDT,buy,0.0,0.035338,0.035338,0.450715,0.00067607
2021-08-16,UNIUSDT,buy,0.0,0.041972,0.041972,0.450715,0.00067607
2021-08-19,AVAXUSDT,sell,0.048523,0.0,-0.048523,0.196087,0.00029413
2021-08-19,INJUSDT,sell,0.036644,0.0,-0.036644,0.196087,0.00029413
2021-08-19,LINKUSDT,sell,0.040613,0.0,-0.040613,0.196087,0.00029413
2021-08-19,XRPUSDT,buy,0.0,0.031706,0.031706,0.196087,0.00029413
2021-08-19,ZILUSDT,buy,0.0,0.038601,0.038601,0.196087,0.00029413
2021-08-22,ADAUSDT,buy,0.0,0.03891,0.03891,0.220361,0.00033054
2021-08-22,BCHUSDT,buy,0.0,0.058106,0.058106,0.220361,0.00033054
2021-08-22,FILUSDT,sell,0.043572,0.0,-0.043572,0.220361,0.00033054
2021-08-22,SUSHIUSDT,buy,0.0,0.041171,0.041171,0.220361,0.00033054
2021-08-22,ZILUSDT,sell,0.038601,0.0,-0.038601,0.220361,0.00033054
2021-08-25,BCHUSDT,sell,0.058106,0.0,-0.058106,0.186717,0.00028008
2021-08-25,ETHUSDT,sell,0.052277,0.0,-0.052277,0.186717,0.00028008
2021-08-25,FETUSDT,buy,0.0,0.034362,0.034362,0.186717,0.00028008
2021-08-25,UNIUSDT,sell,0.041972,0.0,-0.041972,0.186717,0.00028008
2021-08-28,1INCHUSDT,buy,0.0,0.039809,0.039809,0.074171,0.00011126
2021-08-28,FETUSDT,sell,0.034362,0.0,-0.034362,0.074171,0.00011126
2021-08-31,1INCHUSDT,sell,0.039809,0.0,-0.039809,0.271034,0.00040655
2021-08-31,ATOMUSDT,buy,0.0,0.034954,0.034954,0.271034,0.00040655
2021-08-31,INJUSDT,buy,0.0,0.03053,0.03053,0.271034,0.00040655
2021-08-31,KAVAUSDT,buy,0.0,0.039087,0.039087,0.271034,0.00040655
2021-08-31,SFPUSDT,buy,0.0,0.033583,0.033583,0.271034,0.00040655
2021-08-31,TRXUSDT,sell,0.061366,0.0,-0.061366,0.271034,0.00040655
2021-08-31,XRPUSDT,sell,0.031706,0.0,-0.031706,0.271034,0.00040655
2021-09-03,SUSHIUSDT,sell,0.041171,0.0,-0.041171,0.041171,6.176e-05
2021-09-06,DOTUSDT,sell,0.042758,0.0,-0.042758,0.143787,0.00021568
2021-09-06,DUSKUSDT,buy,0.0,0.03785,0.03785,0.143787,0.00021568
2021-09-06,FETUSDT,buy,0.0,0.03265,0.03265,0.143787,0.00021568
2021-09-06,INJUSDT,sell,0.03053,0.0,-0.03053,0.143787,0.00021568
2021-09-09,DUSKUSDT,sell,0.03785,0.0,-0.03785,0.122191,0.00018329
2021-09-09,ETHUSDT,buy,0.0,0.045254,0.045254,0.122191,0.00018329
2021-09-09,KAVAUSDT,sell,0.039087,0.0,-0.039087,0.122191,0.00018329
2021-09-12,AXSUSDT,buy,0.0,0.035478,0.035478,0.149447,0.00022417
2021-09-12,CAKEUSDT,sell,0.047653,0.0,-0.047653,0.149447,0.00022417
2021-09-12,DUSKUSDT,buy,0.0,0.032733,0.032733,0.149447,0.00022417
2021-09-12,SFPUSDT,sell,0.033583,0.0,-0.033583,0.149447,0.00022417
2021-09-15,AXSUSDT,sell,0.035478,0.0,-0.035478,0.068211,0.00010232
2021-09-15,DUSKUSDT,sell,0.032733,0.0,-0.032733,0.068211,0.00010232
2021-09-18,ADAUSDT,sell,0.03891,0.0,-0.03891,0.483604,0.00072541
2021-09-18,ATOMUSDT,sell,0.034954,0.00106,-0.033894,0.483604,0.00072541
2021-09-18,ETHUSDT,sell,0.045254,0.0,-0.045254,0.483604,0.00072541
2021-09-18,FETUSDT,sell,0.03265,0.001293,-0.031357,0.483604,0.00072541
2021-09-18,TUSDUSDT,buy,0.0,0.15,0.15,0.483604,0.00072541
2021-09-18,TWTUSDT,sell,0.035338,0.001149,-0.034189,0.483604,0.00072541
2021-09-18,USDCUSDT,buy,0.0,0.15,0.15,0.483604,0.00072541
2021-09-21,ATOMUSDT,sell,0.00106,0.0,-0.00106,0.303502,0.00045525
2021-09-21,FETUSDT,sell,0.001293,0.0,-0.001293,0.303502,0.00045525
2021-09-21,TUSDUSDT,sell,0.15,0.0,-0.15,0.303502,0.00045525
2021-09-21,TWTUSDT,sell,0.001149,0.0,-0.001149,0.303502,0.00045525
2021-09-21,USDCUSDT,sell,0.15,0.0,-0.15,0.303502,0.00045525
2021-10-03,ATOMUSDT,buy,0.0,0.033486,0.033486,0.1749,0.00026235
2021-10-03,AVAXUSDT,buy,0.0,0.042104,0.042104,0.1749,0.00026235
2021-10-03,FETUSDT,buy,0.0,0.043459,0.043459,0.1749,0.00026235
2021-10-03,SHIBUSDT,buy,0.0,0.055851,0.055851,0.1749,0.00026235
2021-10-06,ATOMUSDT,sell,0.033486,0.000974,-0.032511,0.4727,0.00070905
2021-10-06,AVAXUSDT,sell,0.042104,0.001225,-0.040879,0.4727,0.00070905
2021-10-06,FETUSDT,sell,0.043459,0.0,-0.043459,0.4727,0.00070905
2021-10-06,SHIBUSDT,sell,0.055851,0.0,-0.055851,0.4727,0.00070905
2021-10-06,TUSDUSDT,buy,0.0,0.15,0.15,0.4727,0.00070905
2021-10-06,USDCUSDT,buy,0.0,0.15,0.15,0.4727,0.00070905
2021-10-09,1INCHUSDT,buy,0.0,0.032229,0.032229,0.37414,0.00056121
2021-10-09,ETHUSDT,buy,0.0,0.041911,0.041911,0.37414,0.00056121
2021-10-09,TUSDUSDT,sell,0.15,0.0,-0.15,0.37414,0.00056121
2021-10-09,USDCUSDT,sell,0.15,0.0,-0.15,0.37414,0.00056121
2021-10-12,1INCHUSDT,sell,0.032229,0.00176,-0.030469,0.37004,0.00055506
2021-10-12,ETHUSDT,sell,0.041911,0.002341,-0.03957,0.37004,0.00055506
2021-10-12,TUSDUSDT,buy,0.0,0.15,0.15,0.37004,0.00055506
2021-10-12,USDCUSDT,buy,0.0,0.15,0.15,0.37004,0.00055506
2021-10-15,ETHUSDT,buy,0.002341,0.042797,0.040456,0.422275,0.00063341
2021-10-15,KAVAUSDT,buy,0.0,0.032252,0.032252,0.422275,0.00063341
2021-10-15,LTCUSDT,buy,0.0,0.049567,0.049567,0.422275,0.00063341
2021-10-15,TUSDUSDT,sell,0.15,0.0,-0.15,0.422275,0.00063341
2021-10-15,USDCUSDT,sell,0.15,0.0,-0.15,0.422275,0.00063341
2021-10-18,DUSKUSDT,buy,0.0,0.032825,0.032825,0.124486,0.00018673
2021-10-18,TRXUSDT,buy,0.0,0.048808,0.048808,0.124486,0.00018673
2021-10-18,XRPUSDT,buy,0.0,0.042853,0.042853,0.124486,0.00018673
2021-10-21,DUSKUSDT,sell,0.032825,0.0,-0.032825,0.543398,0.0008151
2021-10-21,ETHUSDT,sell,0.042797,0.002833,-0.039964,0.543398,0.0008151
2021-10-21,KAVAUSDT,sell,0.032252,0.0,-0.032252,0.543398,0.0008151
2021-10-21,LTCUSDT,sell,0.049567,0.0,-0.049567,0.543398,0.0008151
2021-10-21,TRXUSDT,sell,0.048808,0.0,-0.048808,0.543398,0.0008151
2021-10-21,TUSDUSDT,buy,0.0,0.15,0.15,0.543398,0.0008151
2021-10-21,USDCUSDT,buy,0.0,0.15,0.15,0.543398,0.0008151
2021-10-21,XRPUSDT,sell,0.042853,0.002869,-0.039984,0.543398,0.0008151
2021-10-24,BCHUSDT,buy,0.0,0.058726,0.058726,0.654931,0.0009824
2021-10-24,DOTUSDT,buy,0.0,0.037407,0.037407,0.654931,0.0009824
2021-10-24,DUSKUSDT,buy,0.0,0.039149,0.039149,0.654931,0.0009824
2021-10-24,ETHUSDT,buy,0.002833,0.054562,0.051729,0.654931,0.0009824
2021-10-24,LTCUSDT,buy,0.0,0.054969,0.054969,0.654931,0.0009824
2021-10-24,TUSDUSDT,sell,0.15,0.0,-0.15,0.654931,0.0009824
2021-10-24,USDCUSDT,sell,0.15,0.0,-0.15,0.654931,0.0009824
2021-10-24,XRPUSDT,buy,0.002869,0.060772,0.057902,0.654931,0.0009824
2021-10-24,YFIUSDT,buy,0.0,0.05505,0.05505,0.654931,0.0009824
2021-10-27,1INCHUSDT,buy,0.00176,0.037087,0.035328,0.248136,0.0003722
2021-10-27,INJUSDT,buy,0.0,0.04257,0.04257,0.248136,0.0003722
2021-10-27,XRPUSDT,sell,0.060772,0.0,-0.060772,0.248136,0.0003722
2021-10-27,YFIUSDT,sell,0.05505,0.0,-0.05505,0.248136,0.0003722
2021-10-27,ZECUSDT,buy,0.0,0.054417,0.054417,0.248136,0.0003722
2021-10-30,DUSKUSDT,sell,0.039149,0.0,-0.039149,0.083906,0.00012586
2021-10-30,LINKUSDT,buy,0.0,0.044756,0.044756,0.083906,0.00012586
2021-11-02,BCHUSDT,sell,0.058726,0.0,-0.058726,0.117857,0.00017679
2021-11-02,UNIUSDT,buy,0.0,0.059131,0.059131,0.117857,0.00017679
2021-11-05,AAVEUSDT,buy,0.0,0.0712,0.0712,0.247318,0.00037098
2021-11-05,AXSUSDT,buy,0.0,0.040287,0.040287,0.247318,0.00037098
2021-11-05,DOGEUSDT,buy,0.0,0.034129,0.034129,0.247318,0.00037098
2021-11-05,INJUSDT,sell,0.04257,0.0,-0.04257,0.247318,0.00037098
2021-11-05,UNIUSDT,sell,0.059131,0.0,-0.059131,0.247318,0.00037098
2021-11-08,AAVEUSDT,sell,0.0712,0.0,-0.0712,0.171297,0.00025695
2021-11-08,LTCUSDT,sell,0.054969,0.0,-0.054969,0.171297,0.00025695
2021-11-08,ZILUSDT,buy,0.0,0.045128,0.045128,0.171297,0.00025695
2021-11-11,1INCHUSDT,sell,0.037087,0.0,-0.037087,0.375968,0.00056395
2021-11-11,AVAXUSDT,buy,0.001225,0.043611,0.042385,0.375968,0.00056395
2021-11-11,AXSUSDT,sell,0.040287,0.0,-0.040287,0.375968,0.00056395
2021-11-11,COMPUSDT,buy,0.0,0.048479,0.048479,0.375968,0.00056395
2021-11-11,DOGEUSDT,sell,0.034129,0.0,-0.034129,0.375968,0.00056395
2021-11-11,FETUSDT,buy,0.0,0.049616,0.049616,0.375968,0.00056395
2021-11-11,RAYUSDT,buy,0.0,0.042993,0.042993,0.375968,0.00056395
2021-11-11,SUSHIUSDT,buy,0.0,0.035863,0.035863,0.375968,0.00056395
2021-11-11,ZILUSDT,sell,0.045128,0.0,-0.045128,0.375968,0.00056395
2021-11-14,AXSUSDT,buy,0.0,0.044177,0.044177,0.134457,0.00020169
2021-11-14,SUSHIUSDT,sell,0.035863,0.0,-0.035863,0.134457,0.00020169
2021-11-14,ZECUSDT,sell,0.054417,0.0,-0.054417,0.134457,0.00020169
2021-11-17,AXSUSDT,sell,0.044177,0.0,-0.044177,0.250035,0.00037505
2021-11-17,BCHUSDT,buy,0.0,0.046653,0.046653,0.250035,0.00037505
2021-11-17,COMPUSDT,sell,0.048479,0.0,-0.048479,0.250035,0.00037505
2021-11-17,LTCUSDT,buy,0.0,0.035897,0.035897,0.250035,0.00037505
2021-11-17,RAYUSDT,sell,0.042993,0.0,-0.042993,0.250035,0.00037505
2021-11-17,ZECUSDT,buy,0.0,0.031837,0.031837,0.250035,0.00037505
2021-11-20,AXSUSDT,buy,0.0,0.041925,0.041925,0.125985,0.00018898
2021-11-20,BCHUSDT,sell,0.046653,0.0,-0.046653,0.125985,0.00018898
2021-11-20,DOTUSDT,sell,0.037407,0.0,-0.037407,0.125985,0.00018898
2021-11-23,AXSUSDT,sell,0.041925,0.0,-0.041925,0.257267,0.0003859
2021-11-23,BCHUSDT,buy,0.0,0.045079,0.045079,0.257267,0.0003859
